"name","code","netweight","relatedPart","partnumber","compatibledescription-parca","compatibledescription-list","image"
"LAMP 2400 - Case","[""2400""]",,,"2400","[""HEAVY EQUIPMENT Case""]","[[""30EC"",""30YC"",""30YM"",""35EC"",""35YC"",""40EC"",""40YC"",""50""]]","[""/product/2400.png"",""/product/2400.png""]"
"SEAL-INTEGRAL 1662905 - Caterpillar","[""CA1662905"",""166-2905"",""1662905""]","Weight: 0.60 pounds 0 kg.",,"166-2905","[""ASPHALT PAVER "",""COLD PLANER "",""EXCAVATOR "",""FORWARDER "",""GEN SET ENGINE "",""INDUSTRIAL ENGINE "",""INDUSTRIAL TRACTOR "",""INTEGRATED TOOLCARRIER "",""LOGGER "",""MARINE AUXILIARY "",""MARINE ENGINE "",""MOBILE HYD POWER UNIT "",""MOTOR GRADER "",""PETROLEUM ENGINE "",""PIPELAYER "",""PUMPER "",""SOIL COMPACTOR "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""TRUCK ENGINE "",""VIBRATORY COMPACTOR "",""WHEEL FELLER BUNCHER "",""WHEEL HARVESTER "",""WHEEL LOADER "",""WHEEL SKIDDER "",""WHEELED EXCAVATOR Caterpillar""]","[[""AP-755""],[""PM-102""],[""322C"",""322C FM"",""324D"",""324D FM"",""324D FM LL"",""324D L"",""324D LN"",""325C"",""325C FM"",""325D"",""325D FM"",""325D FM LL"",""325D L"",""325D MH"",""326D L"",""328D LCR"",""329D"",""329D L"",""329D LN"",""M325D L MH"",""M325D MH""],[""574"",""584""],[""3126B""],[""3116"",""3126"",""3126B"",""C7"",""C9.3""],[""TK371"",""TK381""],[""IT38G II"",""IT62G II"",""IT62H""],[""322C""],[""3608""],[""3126B""],[""324D LN"",""325C"",""325D"",""325D L"",""329D L""],[""120H"",""120K"",""120K 2"",""12K"",""12M"",""135H"",""140K"",""140K 2"",""140M"",""160K""],[""C7""],[""561N""],[""SPP101""],[""815B""],[""963C""],[""30/30"",""D5N"",""D6N"",""DEUCE""],[""3116"",""3126"",""3126B"",""3126E"",""C7"",""C9""],[""CS-531D"",""CS-533D"",""CS-563D"",""CS-573D"",""CS-583D""],[""533"",""543"",""573"",""TK370"",""TK380""],[""570B""],[""938G II"",""950G II"",""950H"",""962G II"",""962H""],[""525B"",""525C"",""535B"",""535C"",""545C""],[""M325C MH""]]","[""/product/1662905.png"",""/product/1662905.png""]"
"PAD AS 2296177 - Caterpillar","[""CA2296177"",""229-6177"",""2296177""]","Weight: 24 pounds 11 kg.",,"229-6177","[""TRUCK Caterpillar""]","[[""777D"",""777F"",""777G""]]","[""/product/229-6177.png"",""/product/229-6177_2.png"",""/product/229-6177_3.png""]"
"VALVE GP-BRAKE CONTROL 1061774 - Caterpillar","[""CA1061774"",""106-1774"",""1061774""]","Weight: 3 pounds 1 kg.",,"1061774","[""INTEGRATED TOOLCARRIER "",""LANDFILL COMPACTOR "",""SOIL COMPACTOR "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SKIDDER Caterpillar""]","[[""IT62G"",""IT62G II"",""IT62H""],[""816F"",""816F II"",""826G"",""826G II"",""826H"",""836G"",""836H""],[""815F"",""815F II"",""825G"",""825G II"",""825H""],[""814F"",""814F II"",""824G"",""824G II"",""824H"",""834G"",""834H"",""844"",""844H"",""854G"",""854K""],[""950 GC"",""950F II"",""950G"",""950G II"",""950H"",""960F"",""962G"",""962G II"",""962H"",""966F II"",""966G"",""966G II"",""966H"",""970F"",""972G"",""972G II"",""972H"",""980G"",""980G II"",""980H"",""986H"",""988G"",""988H"",""990 II"",""990H"",""992G"",""992K"",""993K"",""994F"",""994H""],[""525B"",""535B"",""545""]]","[""/product/1061774.png"",""/product/1061774_2.png""]"
"MOUNT AS 3434836 - Caterpillar","[""CA3434836"",""343-4836"",""3434836""]","Weight: 10 pounds 4 kg.","3434836  MOUNT AS-YM  4246369  CL","343-4836","[""MOTOR GRADER "",""PIPELAYER "",""TRACK-TYPE TRACTOR "",""WHEEL DOZER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""16G"",""16H NA""],[""578"",""583R"",""587R""],[""D8N"",""D8R"",""D8R II""],[""814B""],[""623E"",""623F"",""627E""],[""621E"",""621F"",""627B"",""627E"",""627F""]]","[""/product/343-4836.png"",""/product/343-4836_2.png"",""/product/343-4836_3.png""]"
"BUSHING ASSEM. 2P7473 - Caterpillar","[""CA2P7473"",""2P-7473"",""2P7473""]","Weight: 10 pounds 4 kg.",,"2P7473","[""EXCAVATOR "",""WHEEL TRACTOR Caterpillar""]","[[""245""],[""621E""]]","[""/product/2P7473.png"",""/product/2P7473_1.png"",""/product/2P7473_2.png""]"
"TRUNNION GP-ENGINE 2P6246 - Caterpillar","[""CA2P6246"",""2P-6246"",""2P6246""]","Weight: 10 pounds 4 kg.","2P6246  TRUNNION-YM  5161577  CL","2P6246","[""EXCAVATOR "",""LANDFILL COMPACTOR "",""MOTOR GRADER "",""PIPELAYER "",""SOIL COMPACTOR "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL SKIDDER "",""WHEEL TRACTOR Caterpillar""]","[[""215"",""225"",""235""],[""816""],[""120B"",""120G"",""12G"",""130G"",""140B"",""140G"",""14G""],[""561C"",""561D"",""571G"",""572G""],[""815""],[""941"",""951B"",""955K"",""955L"",""977K"",""977L""],[""D4D"",""D4E"",""D5"",""D5B"",""D6C"",""D6D"",""D7G""],[""814""],[""920"",""930"",""950"",""966C"",""980B""],[""627B"",""637D"",""639D""],[""518"",""528""],[""621R"",""627B""]]","[""/product/2P6246.png"",""/product/2P6246_1.png"",""/product/2P6246_2.png""]"
"PLATE-CLUTCH 2760017 - Caterpillar","[""CA2760017"",""276-0017"",""2760017""]","Weight: 1 pounds 0 kg.","2760017  PLATE-CLUTCH  20R2820  R","276-0017","[""ARTICULATED TRUCK "",""EJECTOR TRUCK "",""PETROLEUM ENGINE "",""PETROLEUM PACKAGE "",""PETROLEUM TRANSMISSION Caterpillar""]","[[""725"",""725C"",""730"",""735""],[""730""],[""C9""],[""TH35-C11I"",""TH35-C13I"",""TH35-C13T"",""TH35-C15I"",""TH35-C15T""],[""TH31-E61"",""TH35-E81""]]","[""/product/276-0017.png"",""/product/276-0017_1.png""]"
"SEAL 4E0207 - Caterpillar","[""CA4E0207"",""4E-0207"",""4E0207""]","Weight: 0.08 pounds 0 kg.",,"(4E)0207","[""INTEGRATED TOOLCARRIER "",""WHEEL LOADER Caterpillar""]","[[""IT18F"",""IT24F""],[""918F"",""924F""]]","[""/product/4E0207.png"",""/product/4E0207.png""]"
"RING-SEAL 6Y2281 - Caterpillar","[""CA6Y2281"",""6Y-2281"",""6Y2281""]","Weight: 0.05 pounds 0 kg.","AXIAL WIDTH  3.91  mm","6Y2281","[""ARTICULATED TRUCK "",""EJECTOR TRUCK "",""QUARRY TRUCK "",""TRACTOR "",""TRUCK "",""UNDERGROUND ART TRUCK "",""WHEEL TRACTOR Caterpillar""]","[[""735"",""735B"",""740"",""740B"",""D400E II""],[""740"",""740B"",""D400E II""],[""771C"",""771D""],[""768C"",""776C"",""776D""],[""69D"",""769C"",""769D"",""770"",""770G"",""770G OEM"",""772"",""772G"",""772G OEM"",""777D""],[""AD40"",""AD45"",""AD45B"",""AD55"",""AE40"",""AE40 II""],[""637E""]]","[""/product/6Y2281.png"",""/product/6Y2281.png""]"
"SEAL 1437345 - Caterpillar","[""CA1437345"",""143-7345"",""1437345""]","Weight: 0.14 pounds 0 kg.","BORE DIAMETER  0  mm","1437345","[""INDUSTRIAL TRACTOR "",""SITE PREP TRACTOR "",""WHEEL FELLER BUNCHER "",""WHEEL SKIDDER Caterpillar""]","[[""HA771"",""HA871"",""TK371"",""TK381""],[""2864C"",""586C""],[""2470C"",""2570C"",""2670C"",""533"",""543"",""553C"",""563C"",""573C"",""HA770"",""HA870"",""TK370"",""TK380""],[""525B"",""525C"",""525D"",""535B"",""535C"",""535D"",""545"",""545C"",""545D"",""555D""]]","[""/product/1437345.png"",""/product/1437345.png""]"
"RING-RETAINING 6Y0470 - Caterpillar","[""CA6Y0470"",""6Y-0470"",""6Y0470""]","Weight: 0.05 pounds 0 kg.",,"6Y0470","[""PIPELAYER "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""589""],[""D9L"",""D9N"",""D9R"",""D9T""]]","[""/product/6Y0470.png"",""/product/6Y0470.png""]"
"SEAL 1437357 - Caterpillar","[""CA1437357"",""143-7357"",""1437357""]","Weight: 0.14 pounds 0 kg.","BORE DIAMETER  0  mm","1437357","[""WHEEL SKIDDER Caterpillar""]","[[""545"",""545C"",""545D"",""555D""]]","[""/product/143-7357.png"",""/product/143-7357.png""]"
"GASKET 3N2984 - Caterpillar","[""CA3N2984"",""3N-2984"",""3N2984""]","Weight: 0.03 pounds 0 kg.",,"3N2984","[""INDUSTRIAL ENGINE "",""MARINE ENGINE Caterpillar""]","[[""3208""],[]]","[""/product/3N-2984.png"",""/product/3N-2984.png""]"
"SEAL-LINER 1670024 - Caterpillar","[""CA1670024"",""167-0024"",""1670024""]","Weight: 0.01 pounds 0 kg.",,"1670024","[""ARTICULATED TRUCK "",""CHALLENGER "",""EXCAVATOR "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""LANDFILL COMPACTOR "",""MARINE ENGINE "",""MOBILE HYD POWER UNIT "",""MOTOR GRADER "",""PETROLEUM ENGINE "",""PETROLEUM PACKAGE "",""PETROLEUM TRANSMISSION "",""SITE PREP TRACTOR "",""SOIL COMPACTOR "",""TRACK FELLER BUNCHER "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""TRUCK ENGINE "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR "",""WHEEL TRACTOR-SCRAPER "",""WHEELED EXCAVATOR Caterpillar""]","[[""725C""],[""MTC735""],[""330C"",""330C FM"",""330C L"",""330C MH"",""330D"",""330D FM"",""330D L"",""330D LN"",""330D MH"",""336D"",""336D L"",""336D LN"",""336D2"",""336D2 L"",""336E"",""336E H"",""336E L"",""336E LH"",""336E LN"",""336F L"",""340D L"",""340D2 L"",""568 FM LL""],[""C9""],[""C-9"",""C9"",""C9.3""],[""816F II""],[""C9""],[""330C"",""330D"",""330D L"",""336D L"",""336E"",""336E HVG""],[""12H"",""12M 2"",""12M 3"",""12M 3 AWD"",""140M"",""140M 2"",""140M 3"",""140M 3 AWD"",""160M"",""160M 2"",""160M 3"",""160M 3 AWD""],[""C9""],[""CX31-C9I""],[""TH31-E61""],[""2864C"",""586C""],[""815F II""],[""2290"",""2390"",""2391"",""2491"",""2590"",""511"",""521"",""521B"",""522"",""522B"",""532"",""541"",""541 2"",""551"",""552"",""552 2"",""TK711"",""TK721"",""TK722"",""TK732"",""TK741"",""TK751"",""TK752""],[""973C"",""973D""],[""D6R"",""D6R II"",""D6R III"",""D6R STD"",""D6T"",""D6T LGP"",""D6T LGPPAT"",""D6T XL"",""D7E"",""D7E LGP"",""D7R XR""],[""C-9"",""C9""],[""814F II""],[""966K"",""966M"",""966M XE"",""972K"",""972M"",""972M XE""],[""627G"",""637D"",""637E"",""637G""],[""627G"",""627H"",""637G""],[""627K"",""627K LRC""],[""M330D""]]","[""/product/1670024.png"",""/product/1670024.png""]"
"SEAL D-RING 1313717 - Caterpillar","[""CA1313717"",""131-3717"",""1313717""]","Weight: 0.03 pounds 0 kg.","BORE DIAMETER  0  mm","1313717","[""CHALLENGER "",""EXCAVATOR "",""FRONT SHOVEL "",""GEN SET ENGINE "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""LANDFILL COMPACTOR "",""POWER MODULE "",""TRUCK ENGINE "",""UNDERGROUND ART TRUCK "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL TRACTOR Caterpillar""]","[[""MTC835""],[""385B""],[""5090B""],[""3456""],[],[""C-16""],[""836G""],[""PM3456""],[""3406E"",""C-16"",""C16""],[""AD55""],[""834G""],[""988G""],[""651B""]]","[""/product/1313717.png"",""/product/1313717.png""]"
"INSTALLATION AR-ENGINE 1632016 - Caterpillar","[""CA1632016"",""163-2016"",""1632016""]",,,"1632016","[""LOAD HAUL DUMP Caterpillar""]","[[""R1700G""]]","[""/product/163-2016.png"",""/product/163-2016.png""]"
"RETAINER-SPRING 1344483 - Caterpillar","[""CA1344483"",""134-4483"",""1344483""]","Weight: 0.05 pounds 0 kg.",,"1344483","[""ASPHALT PAVER "",""COLD PLANER "",""EXCAVATOR "",""FORWARDER "",""GEN SET ENGINE "",""INDUSTRIAL ENGINE "",""INTEGRATED TOOLCARRIER "",""LOGGER "",""MARINE ENGINE "",""MOBILE HYD POWER UNIT "",""MOTOR GRADER "",""PETROLEUM ENGINE "",""PIPELAYER "",""PUMPER "",""SOIL COMPACTOR "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""TRUCK ENGINE "",""WHEEL FELLER BUNCHER "",""WHEEL HARVESTER "",""WHEEL LOADER "",""WHEEL SKIDDER "",""WHEELED EXCAVATOR Caterpillar""]","[[""AP-1055D"",""AP-755"",""BG-2455D"",""BG-260D""],[""PM-102""],[""322C"",""322C FM"",""324D"",""324D FM"",""324D FM LL"",""324D L"",""324D LN"",""325C"",""325C FM"",""325D"",""325D FM"",""325D FM LL"",""325D L"",""325D MH"",""326D L"",""328D LCR"",""329D"",""329D L"",""329D LN"",""M325D L MH"",""M325D MH""],[""584""],[""3126B""],[""C7"",""C9.3""],[""IT38G II"",""IT62G II"",""IT62H""],[""322C""],[""3126B"",""C7""],[""324D LN"",""325C"",""325D"",""325D L"",""329D L""],[""120H"",""120K"",""120K 2"",""12K"",""12M"",""135H"",""140G"",""140K"",""140K 2"",""140M"",""160K""],[""3126B"",""C7""],[""561N""],[""SPP101""],[""815B""],[""953C"",""963C""],[""D5N"",""D6N""],[""3126"",""3126B"",""3126E"",""C7""],[""573""],[""570B"",""580B""],[""938G II"",""950G II"",""950H"",""962G II"",""962H""],[""525C"",""535C"",""545C""],[""M325C MH""]]","[""/product/134-4483.png"",""/product/134-4483.png""]"
"MOUNT 1644413 - Caterpillar","[""CA1644413"",""164-4413"",""1644413""]","Weight: 0.03 pounds 0 kg.",,"1644413","[""INTEGRATED TOOLCARRIER "",""TRACK-TYPE TRACTOR "",""TRUCK "",""VIBRATORY COMPACTOR "",""WHEEL LOADER "",""WHEEL SCRAPER Caterpillar""]","[[""IT38G II"",""IT62G II""],[""D8R II""],[""797""],[""CP-573E"",""CP-663E"",""CS-533E"",""CS-563E"",""CS-583E"",""CS-663E"",""CS-683E""],[""938G II"",""950G II"",""962G II"",""966G II"",""972G II""],[""627G"",""637D"",""637E"",""637G""]]","[""/product/164-4413.png"",""/product/164-4413.png""]"
"SEAL-TRACK MASTER 1793428 - Caterpillar","[""CA1793428"",""179-3428"",""1793428""]","Weight: 0.05 pounds 0 kg.",,"1793428","[""EXCAVATOR "",""MOBILE HYD POWER UNIT "",""TRACK FELLER BUNCHER "",""UNDERCARRIAGE Caterpillar""]","[[""312D"",""325C"",""328D LCR"",""330B"",""330C"",""330C FM"",""330C L"",""330C MH"",""330D"",""330D L"",""330D LN"",""330D MH"",""336D"",""336D L"",""336D LN"",""336D2"",""336D2 L"",""336E"",""336E H"",""336E L"",""336E LH"",""336E LN"",""336F L"",""340D L"",""340D2 L"",""345D""],[""330D"",""336D L"",""336E HVG"",""345C L"",""349D L""],[""1290T"",""1390"",""2491"",""2590"",""521B"",""522B"",""532"",""541"",""541 2"",""TK1051"",""TK732""],[""OEMS""]]","[""/product/179-3428.png"",""/product/179-3428_2.png""]"
"CAP 1382060 - Caterpillar","[""CA1382060"",""138-2060"",""1382060""]","Weight: 0.010 pounds 0 kg.",,"1382060","[""ASPHALT PAVER "",""BACKHOE LOADER "",""COMPACT WHEEL LOADER "",""EXCAVATOR "",""FORWARDER "",""GEN SET ENGINE "",""INDUSTRIAL ENGINE "",""INTEGRATED TOOLCARRIER "",""MARINE ENGINE "",""PNEUMATIC COMPACTOR "",""TELEHANDLER "",""VIBRATORY COMPACTOR "",""WHEEL HARVESTER "",""WHEEL LOADER "",""WHEELED EXCAVATOR Caterpillar""]","[[""AP-655C"",""AP-800C"",""BB-760"",""BG-225B"",""BG-225C""],[""416C"",""416D"",""420D"",""424D"",""426C"",""428C"",""428D"",""430D"",""432D"",""436C"",""438C"",""438D"",""442D""],[""908""],[""312B L"",""312C"",""315B L""],[""554"",""564"",""574B""],[""3054""],[""3054B"",""3056"",""3056E""],[""IT28G""],[""3054B""],[""PF-290B"",""PS-150B"",""PS-200B"",""PS-300B"",""PS-360B""],[""TH103"",""TH210"",""TH215"",""TH350B"",""TH355B"",""TH460B"",""TH62"",""TH63"",""TH82"",""TH83""],[""CB-434C"",""CB-534C"",""CB-535B"",""CP-433C"",""CP-433E"",""CP-573E"",""CP-663E"",""CS-323C"",""CS-423E"",""CS-431C"",""CS-433C"",""CS-563E"",""CS-583E"",""CS-663E"",""CS-683E""],[""550B"",""560B""],[""924G"",""924GZ"",""930G""],[""M312"",""M315"",""M316C"",""M318C"",""M318C MH"",""M322C""]]","[""/product/138-2060.png"",""/product/138-2060_2.png""]"
"SEAL AS-BUFFER 1672201 - Caterpillar","[""CA1672201"",""167-2201"",""1672201""]","Weight: 0.02 pounds 0 kg.",,"1672201","[""BACKHOE LOADER "",""INDUSTRIAL TRACTOR "",""INTEGRATED TOOLCARRIER "",""LANDFILL COMPACTOR "",""MOTOR GRADER "",""SOIL COMPACTOR "",""TRACK LOADER "",""TRACK SKIDDER "",""TRACK-TYPE TRACTOR "",""UNDERGROUND ART TRUCK "",""WHEEL DOZER "",""WHEEL FELLER BUNCHER "",""WHEEL HARVESTER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""416B"",""416C"",""416D"",""416E"",""420D"",""420E"",""424D"",""428C"",""428D"",""430E"",""430F"",""432D"",""438C"",""438D"",""442D"",""442E"",""444E"",""446B"",""446D""],[""HA771"",""HA871"",""TK371"",""TK381""],[""IT24F"",""IT28G""],[""826C"",""826G"",""826G II"",""826H""],[""14H"",""14H NA"",""16G"",""16H"",""16H NA"",""24H""],[""825G"",""825G II"",""825H""],[""939C"",""973"",""973C""],[""517"",""527"",""D4HTSK III"",""D5HTSK II""],[""30/30"",""D5E"",""D5H"",""D5H XL"",""D5N"",""D5R LGP"",""D6E"",""D6E SR"",""D6G"",""D6G SR"",""D6G2 LGP"",""D6G2 XL"",""D6H"",""D6H XL"",""D6H XR"",""D6K LGP"",""D6K XL"",""D6K2"",""D6K2 LGP"",""D6M"",""D6N"",""D6N LGP"",""D6R"",""D6R II"",""D6R III"",""D6T"",""D6T LGP"",""D6T LGPPAT"",""D6T XL"",""D7G"",""D7G2"",""D7R"",""D7R II"",""D7R XR"",""DEUCE""],[""AD40"",""AE40""],[""824G"",""824G II"",""824H"",""834B""],[""533"",""543"",""HA770"",""HA870"",""TK370"",""TK380""],[""550"",""550B"",""560B"",""570"",""570B"",""580"",""580B""],[""924F"",""924G"",""924GZ"",""924H"",""924HZ"",""928F"",""928G"",""928H"",""928HZ"",""930G"",""938F"",""938G"",""938G II"",""988G"",""988H""],[""613C"",""613C II"",""615C"",""621G"",""623E"",""623F"",""623G"",""627E"",""627G""],[""613C II"",""621E"",""621F"",""621G"",""623G"",""627E"",""627F"",""627G"",""631E"",""631G"",""633E II"",""637E"",""637G""]]","[""/product/167-2201.png"",""/product/167-2201.png""]"
"SEAL-TRACK 1686759 - Caterpillar","[""CA1686759"",""168-6759"",""1686759""]","Weight: 0.01 pounds 0 kg.",,"1686759","[""MINI HYD EXCAVATOR Caterpillar""]","[[""307B"",""307C"",""307D"",""307E"",""308C"",""308D"",""308E"",""308E2 CR""]]","[""/product/168-6759.png"",""/product/168-6759.png""]"
"DAMPER AS 1678126 - Caterpillar","[""CA1678126"",""167-8126"",""1678126""]","Weight: 32 pounds 14 kg.","1678126  DAMPER-AS-YM  3828019  CL","1678126","[""ARTICULATED TRUCK "",""CHALLENGER "",""COLD PLANER "",""EJECTOR TRUCK "",""EXCAVATOR "",""FRONT SHOVEL "",""GAS ENGINE "",""GEN SET ENGINE "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""LANDFILL COMPACTOR "",""LOAD HAUL DUMP "",""MARINE ENGINE "",""MOTOR GRADER "",""PETROLEUM ENGINE "",""PETROLEUM PACKAGE "",""PIPELAYER "",""PUMPER "",""RECLAIMER MIXER "",""ROAD RECLAIMER "",""SOIL COMPACTOR "",""SOIL STABILIZER "",""STABILIZER MIXER "",""TRACK-TYPE TRACTOR "",""TRUCK ENGINE "",""UNDERGROUND ART TRUCK "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""735"",""740"",""D350E"",""D350E II"",""D400E"",""D400E II""],[""MTC835""],[""PM-465""],[""740"",""D400E II""],[""375"",""375 L""],[""5080""],[""G3406""],[""3406B"",""3406C"",""3406E""],[""3406C"",""G3406""],[""3406"",""3406B"",""3406C"",""3406E"",""3408"",""3456"",""C-15"",""C-16"",""C15"",""C18""],[""826C"",""826G"",""826G II"",""826H""],[""R2900"",""R2900G"",""R3000H""],[""3406B"",""3406C"",""3406E"",""C15""],[""16G"",""16H NA""],[""C-15"",""C15""],[""CX31-C15I"",""TH35-C15I"",""TH35-C15T""],[""578"",""583R"",""583T"",""587R"",""587T"",""PL83"",""PL87""],[""HT400""],[""RM-250C"",""RM-350B""],[""RR-250"",""RR-250B""],[""825G"",""825G II"",""825H""],[""SS-250""],[""SM-350""],[""D8N"",""D8R"",""D8R II"",""D8T""],[""3406B"",""3406C"",""3406E"",""3408"",""C-15"",""C-16"",""C15"",""C16""],[""AD30"",""AD55""],[""814B"",""824C"",""824G"",""824G II"",""824H""],[""980C"",""980F"",""980G"",""980G II"",""980H"",""988G""],[""623E"",""623F"",""627E"",""657B"",""657E""],[""621B"",""621E"",""621F"",""621G"",""623F"",""623G"",""627B"",""627F"",""627G"",""631D"",""631E"",""631G"",""633E II"",""637E"",""637G"",""651B""]]","[""/product/167-8126.png"",""/product/167-8126.png""]"
"MOUNT-RUBBER 2666259 - Caterpillar","[""CA2666259"",""266-6259"",""2666259""]","Weight: 0.97 pounds 0 kg.",,"2666259","[""EXCAVATOR Caterpillar""]","[[""311D LRR"",""312D"",""312D L"",""313D"",""315D L"",""318D L"",""319D"",""319D L"",""319D LN""]]","[""/product/266-6259.png"",""/product/266-6259.png""]"
"MOUNT 1388862 - Caterpillar","[""CA1388862"",""138-8862"",""1388862""]","Weight: 1 pounds 0 kg.",,"1388862","[""LANDFILL COMPACTOR "",""SOIL COMPACTOR "",""TRACK FELLER BUNCHER "",""TRACK LOADER "",""UNDERGROUND ART TRUCK "",""WHEEL DOZER "",""WHEEL LOADER Caterpillar""]","[[""826K"",""836G"",""836H""],[""825K""],[""1090"",""1190"",""1190T"",""1290T"",""TK1051"",""TK711"",""TK721"",""TK722"",""TK732"",""TK741"",""TK751"",""TK752""],[""973C""],[""AD30"",""AD45B""],[""824K"",""834G"",""834H""],[""986H"",""988G"",""988H""]]","[""/product/138-8862.png"",""/product/138-8862_1.png"",""/product/138-8862_2.png"",""/product/138-8862_3.png"",""/product/138-8862_4.png"",""/product/138-8862_5.png""]"
"MOUNT AS 1749527 - Caterpillar","[""CA1749527"",""174-9527"",""1749527""]","Weight: 4 pounds 1 kg.",,"1749527","[""INDUSTRIAL ENGINE "",""MOTOR GRADER "",""PETROLEUM PACKAGE "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""C13"",""C9.3""],[""140H"",""143H"",""14M"",""160H"",""163H"",""16M""],[""CX31-C13I""],[""D8N""]]","[""/product/174-9527.png"",""/product/174-9527_2.png"",""/product/174-9527_3.png""]"
"COLLAR 1576257 - Caterpillar","[""CA1576257"",""157-6257"",""1576257""]","Weight: 6 pounds 3 kg.","1576257  COLLAR-YM  3930912  CL","1576257","[""WHEEL LOADER Caterpillar""]","[[""980G""]]","[""/product/1576257.png"",""/product/1576257_2.png"",""/product/1576257_3.png"",""/product/1576257_4.png""]"
"ABSORBER AS-SHOCK 1544812 - Caterpillar","[""CA1544812"",""154-4812"",""1544812""]","Weight: 2 pounds 1 kg.",,"1544812","[""ARTICULATED TRUCK "",""EJECTOR TRUCK Caterpillar""]","[[""725"",""725C"",""730"",""730C"",""735"",""735B"",""740"",""740B"",""D250E II"",""D300E II"",""D350E II"",""D400E II""],[""730"",""730C"",""740"",""740B"",""D400E II""]]","[""/product/1544812.png"",""/product/1544812_2.png"",""/product/1544812_3.png""]"
"BEARING-SPHERICAL 1587749 - Caterpillar","[""CA1587749"",""158-7749"",""1587749""]","Weight: 12 pounds 5 kg.",,"1587749","[""ARTICULATED TRUCK "",""EJECTOR TRUCK Caterpillar""]","[[""725"",""730"",""D250E II"",""D300E II""],[""730""]]","[""/product/158-7749.png"",""/product/158-7749.png""]"
"MOUNT AS 1640574 - Caterpillar","[""CA1640574"",""164-0574"",""1640574""]","Weight: 7 pounds 3 kg.",,"1640574","[""EXCAVATOR "",""LOGGER "",""MINI HYD EXCAVATOR "",""MOBILE HYD POWER UNIT "",""WHEELED EXCAVATOR Caterpillar""]","[[""318C"",""320C"",""320C FM"",""320C L"",""322C"",""322C FM"",""325C"",""325C FM"",""325C L"",""325D MH"",""330C"",""330C FM"",""330C L"",""330C MH"",""330D MH"",""345C"",""345C MH"",""M325D L MH"",""M325D MH""],[""322C""],[""307C"",""307D""],[""325C"",""330C""],[""M330D"",""W345C MH""]]","[""/product/1640574.png"",""/product/1640574_2.png"",""/product/1640574_3.png"",""/product/1640574_4.png"",""/product/1640574_5.png""]"
"FLANGE-NYLON 1417562 - Caterpillar","[""CA1417562"",""141-7562"",""1417562""]","Weight: 1 pounds 0 kg.",,"1417562","[""COMPACT WHEEL LOADER "",""MINI HYD EXCAVATOR "",""MULTI TERRAIN LOADER "",""SKID STEER LOADER "",""VIBRATORY COMPACTOR Caterpillar""]","[[""902"",""904B"",""904H""],[""302.5"",""303.5"",""304.5""],[""247B"",""247B3"",""257B""],[""216"",""216B"",""216B3"",""226B"",""226B3"",""232B"",""242B""],[""CB-214D"",""CB-214E"",""CB-22"",""CB-334D"",""CB-334E"",""CB-335D"",""CB-34""]]","[""/product/1417562.png"",""/product/1417562_2.png"",""/product/1417562_3.png""]"
